ID,Bin No,SKU,Batch No,CFC,Description,UOM,Created At,Updated At,Expire Days
15,A02,FXC74050S,Z20NOV25,227,"FXC74050S",2.000,Thu Nov 27 2025 07:56:53 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:53 GMT+0530 (India Standard Time),
16,A02,FXC74050S,Z20NOV25,240,"FXC74050S",2.000,Thu Nov 27 2025 07:56:53 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:53 GMT+0530 (India Standard Time),
17,A03,FXC70010S,Z20NOV25,180,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
18,A04,FXC70010S,Z20NOV25,210,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
19,A05,FXC74010S,Z20NOV25,221,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
20,A05,FXC74050S,Z20NOV25,30,"FXC74050S",2.000,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
21,A06,FXC74010S,Z20NOV25,210,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
22,A09,FXC74020SA,Z20NOV25,291,"48127 BINGO! OS RS.20 HNS KOREAN STYLE",2.150,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
23,A10,FXC70020SB,Z20NOV25,330,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
24,A12,FXC70020SB,Z20NOV25,270,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
25,A14,FXC70051S,Z20NOV25,2,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
26,A16,FXC70010S,Z20NOV25,9,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:54 GMT+0530 (India Standard Time),
